text,category
"McDonald's Big Mac Meal Food Order","Food & Dining"
"Uber ride from office to home","Transport"
"Walmart groceries purchase","Groceries"
"Amazon Kindle purchase","Shopping"
"Starbucks coffee payment","Food & Dining"
"Netflix monthly subscription","Entertainment"
"CVS Pharmacy prescription refill","Healthcare"
"LA Fitness monthly membership","Health & Fitness"
"Home Depot garden supplies","Home & Garden"
"Apple iPhone 14 purchase","Electronics"
"Shell gas station fill-up","Automotive"
"Rent payment for March 2024","Housing"
"State Farm insurance premium","Insurance"
"Bank of America loan payment","Financial Services"
"PG&E utility bill payment","Utilities"
